               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.028652,            0.047573,            0.026859,             0.47251,              0.5012,             0.45987,             0.30824,            0.028869,            0.043284,            0.029741,           0.0080596,           0.0080596,           0.0080596
                 100,             0.02646,            0.042532,            0.026913,             0.93751,             0.26405,             0.45855,             0.31686,            0.031252,            0.043233,            0.029837,           0.0080398,           0.0080398,           0.0080398
                 101,             0.02912,            0.043261,             0.02547,             0.83839,             0.30097,             0.45009,             0.29064,            0.034088,            0.044954,            0.029425,             0.00802,             0.00802,             0.00802
                 102,            0.027365,            0.045824,            0.026834,             0.96266,             0.26333,             0.46709,             0.31424,             0.03047,            0.043589,            0.029143,           0.0080002,           0.0080002,           0.0080002
                 103,            0.026944,            0.045639,            0.025197,             0.92654,             0.26979,             0.45606,             0.28416,             0.03234,            0.044231,            0.029026,           0.0079804,           0.0079804,           0.0079804
                 104,            0.025792,            0.044926,            0.024063,             0.47033,               0.523,             0.46732,             0.28858,            0.033544,             0.04444,            0.029019,           0.0079606,           0.0079606,           0.0079606
                 105,            0.028061,            0.044009,            0.022438,             0.48333,             0.53543,             0.47983,             0.32049,             0.03146,            0.044291,            0.028541,           0.0079408,           0.0079408,           0.0079408
                 106,            0.029363,             0.04972,            0.026105,             0.46297,             0.51752,             0.44495,             0.28408,              0.0356,             0.04611,            0.028692,            0.007921,            0.007921,            0.007921
                 107,            0.027688,             0.03944,            0.024291,             0.47054,             0.49267,             0.45233,             0.30608,            0.031382,            0.044396,            0.028431,           0.0079012,           0.0079012,           0.0079012
                 108,            0.030009,            0.045785,            0.025155,             0.47579,             0.48114,             0.45604,             0.31257,            0.031211,            0.043737,            0.028286,           0.0078814,           0.0078814,           0.0078814
                 109,            0.028011,            0.037304,            0.024148,             0.86533,             0.30472,             0.45479,             0.29243,            0.032181,            0.044881,            0.028184,           0.0078616,           0.0078616,           0.0078616
                 110,            0.026509,            0.043699,            0.023291,             0.47943,             0.47853,             0.46774,             0.32567,            0.028618,            0.043876,             0.02754,           0.0078418,           0.0078418,           0.0078418
                 111,            0.027677,            0.040954,            0.023279,             0.47056,             0.46467,             0.44884,             0.30562,            0.033187,            0.043613,            0.027399,            0.007822,            0.007822,            0.007822
                 112,            0.027542,            0.042508,            0.022882,             0.46903,             0.46338,             0.46919,             0.30937,            0.031088,            0.043776,            0.027235,           0.0078022,           0.0078022,           0.0078022
